pid,name,pos,sal,pts
238,Russell Westbrook,PG,11800,57.0
240,Joel Embiid,C,11500,38.0
11,Karl-Anthony Towns,C,11000,30.299999999999997
4,Nikola Jokic,C,10700,57.2
5,Stephen Curry,PG,10400,45.4
3,Kevin Durant,SF,10300,40.2
413,Kawhi Leonard,SF,10200,64.8
243,Paul George,SF,10000,37.3
419,Bradley Beal,SG,9800,38.6
241,Ben Simmons,PG,9500,43.5
9,Victor Oladipo,SG,9200,27.9
244,Kemba Walker,PG,8900,29.3
262,John Collins,PF,8400,39.8
246,De'Aaron Fox,PG,8200,39.1
417,Kyle Lowry,PG,8100,39.4
53,Myles Turner,C,8000,0
7,Jimmy Butler,SG,7900,33.5
18,Deandre Ayton,C,7800,38.4
252,Tobias Harris,PF,7700,33.7
270,Montrezl Harrell,PF,7600,48.7
24,Jamal Murray,PG,7600,33.8
39,Klay Thompson,SG,7500,56.4
264,Danilo Gallinari,SF,7500,37.0
254,Willie Cauley-Stein,C,7400,45.9
247,Buddy Hield,SG,7400,18.8
429,Pascal Siakam,PF,7300,31.5
501,Hassan Whiteside,C,7300,34.2
251,Steven Adams,C,7200,36.9
43,Jeff Teague,PG,7200,29.9
502,Josh Richardson,SF,7200,25.8
22,Draymond Green,PF,7100,35.2
63,Domantas Sabonis,PF,7100,40.8
508,Justise Winslow,SF,7000,30.8
423,Serge Ibaka,PF,7000,29.200000000000003
481,Thomas Bryant,C,6900,19.1
285,Lou Williams,SG,6800,48.6
253,Trae Young,PG,6700,34.0
269,Bogdan Bogdanovic,SG,6500,17.1
45,Andrew Wiggins,SG,6500,63.0
36,Paul Millsap,PF,6500,33.8
73,Trevor Ariza,SF,6300,20.799999999999997
463,Tomas Satoransky,PG,6300,16.4
33,Tim Hardaway Jr.,SG,6300,15.600000000000001
283,Tristan Thompson,C,6200,41.1
185,Tyus Jones,PG,6200,16.2
231,T.J. Warren,SF,6200,29.3
25,Gary Harris,SF,6200,0
255,Nemanja Bjelica,SF,6100,16.0
60,Noah Vonleh,PF,6100,17.3
126,Emmanuel Mudiay,PG,6100,15.399999999999999
29,Enes Kanter,C,6000,34.2
55,Thaddeus Young,PF,6000,42.5
87,Kevin Knox,PF,5900,11.4
61,Darren Collison,PG,5900,35.9
273,Jeremy Lamb,SG,5800,23.2
444,Jeff Green,SF,5800,20.7
276,Alex Len,C,5800,10.2
266,Larry Nance Jr.,PF,5800,4.2
280,JJ Redick,SG,5700,0
289,Jerami Grant,PF,5600,18.6
300,Marvin Williams,PF,5500,26.9
275,Dewayne Dedmon,C,5500,21.299999999999997
79,Bojan Bogdanovic,SF,5500,33.8
299,Jordan Clarkson,SG,5500,34.9
288,DeAndre' Bembry,SF,5400,33.7
438,Fred VanVleet,PG,5400,23.0
281,Dennis Schroder,SG,5400,17.4
284,Collin Sexton,PG,5300,17.2
509,Dwyane Wade,SG,5300,29.6
162,Luke Kornet,PF,5200,14.4
404,Willy Hernangomez,C,5100,13.2
132,Mason Plumlee,C,5100,11.1
370,Kevin Huerter,SG,5000,0
505,James Johnson,PF,5000,4.6
267,Cedi Osman,SF,4900,20.9
510,Tyler Johnson,PG,4900,19.6
426,Otto Porter Jr.,SF,4900,18.7
101,Juancho Hernangomez,SF,4800,-0.8
261,Nicolas Batum,SF,4800,27.0
400,T.J. McConnell,PG,4700,24.3
59,Taj Gibson,PF,4700,19.0
128,Kevon Looney,C,4600,26.9
62,Tyreke Evans,SF,4600,5.2
315,Jeremy Lin,PG,4600,34.3
113,De'Anthony Melton,PG,4500,40.8
169,Alec Burks,SG,4500,32.4
303,Shai Gilgeous-Alexander,PG,4400,33.6
331,Justin Jackson,SF,4400,23.2
511,Bam Adebayo,PF,4400,22.3
434,Danny Green,SG,4300,0
108,Andre Iguodala,SG,4300,23.9
75,Josh Okogie,SG,4300,14.7
171,Mikal Bridges,SF,4200,19.0
95,Cory Joseph,PG,4200,22.4
301,Malik Monk,SG,4100,24.2
506,Rodney McGruder,SG,4100,11.0
204,Torrey Craig,SG,4100,35.2
118,Josh Jackson,PF,4100,30.299999999999997
334,Wilson Chandler,SF,4000,15.5
326,Bismack Biyombo,C,4000,16.2
89,Trey Burke,PG,4000,11.5
371,Devonte' Graham,PG,4000,10.2
504,Kelly Olynyk,PF,4000,22.5
217,Richaun Holmes,PF,4000,34.8
122,Malik Beasley,SG,4000,10.2
321,Avery Bradley,SG,3900,14.7
515,Derrick Jones Jr.,SF,3900,0
363,Jonah Bolden,PF,3900,7.1
488,Norman Powell,SF,3900,10.1
294,Patrick Beverley,PG,3800,13.0
358,Furkan Korkmaz,SG,3800,22.4
442,Kelly Oubre Jr.,SF,3800,48.0
520,,SG,3700,3.2
81,Trey Lyles,PF,3700,17.6
393,Daniel Hamilton,SG,3700,16.7
208,Troy Daniels,SG,3700,12.7
297,Sam Dekker,SF,3700,29.6
133,Jamal Crawford,SG,3700,8.6
330,Nerlens Noel,C,3700,7.2
77,Monte Morris,SG,3700,8.4
478,Ian Mahinmi,C,3700,32.9
304,Tony Parker,PG,3700,16.2
278,Dario Saric,PF,3600,27.4
336,Marcin Gortat,C,3600,16.2
449,Delon Wright,SG,3600,18.7
117,Gorgui Dieng,C,3600,14.6
485,Chasson Randle,SG,3600,10.2
308,Miles Bridges,SF,3600,11.0
106,Jonas Jerebko,PF,3600,14.5
311,Kosta Koufos,C,3500,11.5
403,Mike Scott,PF,3500,5.9
349,Tyrone Wallace,SG,3500,8.4
377,Landry Shamet,PG,3500,36.1
522,,SF,3500,0
69,Damyean Dotson,SG,3500,8.7
115,Doug McDermott,SF,3500,10.2
379,Abdel Nader,SF,3500,0.19999999999999996
102,Anthony Tolliver,PF,3500,20.8
110,Alfonzo McKinnie,SF,3500,10.0
337,Mike Muscala,C,3500,16.0
100,Mario Hezonja,SF,3500,34.2
345,Matthew Dellavedova,PG,3500,5.5
130,Quinn Cook,PG,3500,18.4
397,Channing Frye,PF,3500,8.5
305,Michael Kidd-Gilchrist,SF,3500,12.2
395,Terrance Ferguson,SG,3500,21.8
456,OG Anunoby,SF,3500,22.9
335,Vince Carter,SF,3500,7.199999999999999
116,Allonzo Trier,SG,3500,18.6
462,Greg Monroe,C,3500,7.199999999999999
136,Jordan Bell,C,3500,3.7
340,Patrick Patterson,PF,3500,8.6
368,Yogi Ferrell,PG,3500,11.1
405,Frank Mason,SG,3500,0
391,Ben McLemore,SG,3500,25.6
367,Hamidou Diallo,SG,3500,7.6
496,CJ Miles,SF,3500,0
410,Harry Giles III,PF,3500,16.3
360,Justin Anderson,SG,3500,3.2
177,Elie Okobo,PG,3500,0
